query,recipe_id,publisher,source_url,image_url,social_rank,publisher_url,title,sum_cal,sum_fat,sum_carb,sum_protein
duck,628dae,BBC Good Food,http://www.bbcgoodfood.com/recipes/6679/onepan-duck-with-savoy-cabbage,http://forkify-api.herokuapp.com/images/6679_MEDIUM2698.jpg,72.52735075250145,http://www.bbcgoodfood.com,One-pan duck with Savoy cabbage,837.2570000000001,11.547,163.26000000000002,26.870500000000003
curry,26417,All Recipes,http://allrecipes.com/Recipe/Red-Lentil-Curry/Detail.aspx,http://forkify-api.herokuapp.com/images/490284baac.jpg,99.99999999997735,http://allrecipes.com,Red Lentil Curry,359.1590394195,10.121164929225,55.396487883899994,13.042664929224998
curry,47979,101 Cookbooks,http://www.101cookbooks.com/archives/001525.html,http://forkify-api.herokuapp.com/images/pumpkinsouprecipe7dc3.jpg,99.99999999457184,http://www.101cookbooks.com,Thai-spiced Pumpkin Soup,622.636,64.99619999999999,15.1869,5.6098
curry,39717,Real Simple,http://www.realsimple.com/food-recipes/browse-all-recipes/curried-rice-shrimp-00000000006830/index.html,http://forkify-api.herokuapp.com/images/curriedriceshrimp1_300c50f73ce.jpg,99.99999968066543,http://realsimple.com,Curried Rice With Shrimp,491.95742199999995,6.41797711,95.716135615,26.3607711
curry,bab8b4,BBC Good Food,http://www.bbcgoodfood.com/recipes/4686/chicken-biryani,http://forkify-api.herokuapp.com/images/4686_MEDIUM0e58.jpg,99.99999949862568,http://www.bbcgoodfood.com,Chicken biryani,3466.9,113.9258,291.3982000000001,317.0068
curry,47865,101 Cookbooks,http://www.101cookbooks.com/archives/green-lentil-soup-with-curried-brown-butter-recipe.html,http://forkify-api.herokuapp.com/images/kinfolk_feature3837.jpg,99.99999934276951,http://www.101cookbooks.com,Green Lentil Soup with Curried Brown Butter,1022.705,56.1941,96.6048,49.611
curry,36512,Simply Recipes,http://www.simplyrecipes.com/recipes/jamaican_goat_curry/,http://forkify-api.herokuapp.com/images/jamaicangoatcurry300x2000c39cb67.jpg,99.99999853310096,http://simplyrecipes.com,Jamaican Goat Curry,4346.1172704,300.6849931,126.159,298.4683509
curry,47990,101 Cookbooks,http://www.101cookbooks.com/archives/vegetarian-thanksgiving-recipes-recipe.html,http://forkify-api.herokuapp.com/images/vegetarian_thanksgiving_recipesf594.jpg,99.99999810317004,http://www.101cookbooks.com,Vegetarian Thanksgiving Recipes,2995.456,57.76699999999999,532.027,98.593
curry,10866,All Recipes,http://allrecipes.com/Recipe/Curried-Coconut-Chicken/Detail.aspx,http://forkify-api.herokuapp.com/images/32927359f4.jpg,99.99999679741998,http://allrecipes.com,Curried Coconut Chicken,3112.893052602,136.4348215496,69.4663399704,301.10938913179996
curry,20b18f,Epicurious,http://www.epicurious.com/recipes/food/views/Thai-Chicken-Curry-51140410,http://forkify-api.herokuapp.com/images/51140410724e.jpg,99.99999495161252,http://www.epicurious.com,Thai Chicken Curry,1732.539748675,65.061980925,169.25213065000003,24.0485958975
curry,47877,101 Cookbooks,http://www.101cookbooks.com/archives/spiced-tomato-gratin-recipe.html,http://forkify-api.herokuapp.com/images/spiced_tomato_gratin_recipeb57a.jpg,99.99999251466318,http://www.101cookbooks.com,Spiced Tomato Gratin,1391.4954000000002,62.0948,187.67919999999998,33.7042
curry,f37a75,BBC Good Food,http://www.bbcgoodfood.com/recipes/2027/onepot-mushroom-and-potato-curry,http://forkify-api.herokuapp.com/images/2027_MEDIUMec7c.jpg,99.9999605497461,http://www.bbcgoodfood.com,One-pot mushroom &amp; potato curry,1245.6252,101.685,62.69,21.922
curry,ee6fc1,BBC Good Food,http://www.bbcgoodfood.com/recipes/7712/superhealthy-salmon-burgers,http://forkify-api.herokuapp.com/images/7712_MEDIUM6ec0.jpg,99.99995231810512,http://www.bbcgoodfood.com,Superhealthy salmon burgers,1766.0149999999999,87.55059999999999,232.935,23.8388
curry,2484af,BBC Good Food,http://www.bbcgoodfood.com/recipes/313610/sweet-potato-and-chicken-curry,http://forkify-api.herokuapp.com/images/313610_MEDIUM594c.jpg,99.99994144419098,http://www.bbcgoodfood.com,Sweet potato &amp; chicken curry,571.612,6.167999999999999,118.84,11.687
curry,39812,Real Simple,http://www.realsimple.com/food-recipes/browse-all-recipes/slow-cooker-curried-chicken-with-ginger-and-yogurt-00000000052369/index.html,http://forkify-api.herokuapp.com/images/curriedchickenginger_30039ab7c63.jpg,99.99989041680394,http://realsimple.com,Slow-Cooker Curried Chicken With Ginger and Yogurt,1267.7178758066666,24.94190042666667,244.29597613333334,54.817793606666676
curry,47071,The Pioneer Woman,http://thepioneerwoman.com/cooking/2010/12/easy-mulligatawny/,http://forkify-api.herokuapp.com/images/5242981268_d68af91765_o7abd.jpg,99.99988667897782,http://thepioneerwoman.com,Quick & Easy Mulligatawny,1997.4698196799998,52.791550611199995,74.1752,297.6818691519999
curry,35474,Closet Cooking,http://www.closetcooking.com/2012/07/pineapple-and-shrimp-fried-quinoa.html,http://forkify-api.herokuapp.com/images/Pineapple2Band2BShrimp2BFried2BQuinoa2B5002B41842465b4b66.jpg,99.99985158499504,http://closetcooking.com,Pineapple and Shrimp Fried Quinoa,744.5804231499999,20.392488554999996,75.98959237000001,81.27008440000002
curry,a402ac,BBC Good Food,http://www.bbcgoodfood.com/recipes/3715/spinach-and-sweet-potato-curry,http://forkify-api.herokuapp.com/images/3715_MEDIUM7aa0.jpg,99.99983570900699,http://www.bbcgoodfood.com,Spinach &amp; sweet potato curry,1708.08,102.122,118.53999999999999,35.562
curry,33863,All Recipes,http://allrecipes.com/Recipe/Vegetarian-Korma/Detail.aspx,http://forkify-api.herokuapp.com/images/11647482cf.jpg,99.9996703776198,http://allrecipes.com,Vegetarian Korma,613.316751416,21.8080366468,93.41617028320002,23.298586646799997
curry,f3ceb9,Chow,http://www.chow.com/recipes/30268-thai-red-curry-with-kabocha-squash,http://forkify-api.herokuapp.com/images/30268_Recipeimage_620x413_thai_curry_squash8dfe.jpg,99.99937113037511,http://www.chow.com,Thai Red Curry with Kabocha Squash Recipe,1249.56594069,94.318412072,101.83832801800001,23.863707406899998
