query,recipe_id
peach,47005
peach,54491
peach,54334
peach,34447
peach,39684
peach,54353
peach,47016
peach,ff6c57
peach,80bdf9
peach,f54da9
peach,39867
peach,11870
peach,35099
peach,fb6ac1
peach,15023
peach,49033
peach,eea8ce
peach,54356
peach,46997
peach,54333
peach,6e0f04
peach,49074
peach,99f2cb
peach,38929
pear,46956
pear,36482
pear,49d43c
pear,ea8d38
pear,47191
pear,40ce50
pear,409bef
pear,27152
pear,54410
pear,35919
pear,54634
pear,38230
pear,543648
pear,39595
pear,fbae62
pear,13740
pear,38434
pear,4f1c5e
pear,49244
pear,47086
pear,a51392
pear,458fd3
pear,995bcc
pear,49559
pear,37501
pear,39814
pineapple,46946
pineapple,34225f
pineapple,37496
pineapple,54492
pineapple,36474
pineapple,47138
pineapple,36440
pineapple,35474
pineapple,47068
pineapple,16100
pineapple,ded8db
pineapple,37048
pineapple,104609
pineapple,54503
pineapple,6efb38
pineapple,0639bc
pineapple,ae6f30
pineapple,0d2d55
pineapple,47057
pineapple,48988
pineapple,46916
pineapple,9caae8
pineapple,54367
pineapple,33c0ee
pineapple,4320b0
pineapple,35387
plum,36482
plum,35852
plum,4f0272
plum,a4f1a5
plum,47851
plum,47294
plum,11581
plum,7202
plum,15800
plum,47372
plum,35572
plum,12a188
plum,b66d90
plum,35956
plum,49436
plum,39b2d5
plum,50724
plum,0063b5
plum,36859
plum,8ba703
plum,35148
plum,3236
plum,36818
plum,ae0f34
plum,eb61fb
plum,2049
pomegranate,94e1a4
pomegranate,48921
pomegranate,36306
pomegranate,47749
pomegranate,7d3f8d
pomegranate,51971
pomegranate,54576
pomegranate,ee0249
pomegranate,6efb38
pomegranate,47085
pomegranate,54291
pomegranate,82cef6
pomegranate,df37a1
pomegranate,88c0ae
pomegranate,47687
pomegranate,5efbb4
pomegranate,49439
pomegranate,271c9b
pomegranate,eb3942
pomegranate,c709aa
pomegranate,e36920
pomegranate,4d03d1
pomegranate,c34178
pomegranate,71ecf4
pomegranate,36724
pomegranate,e067bc
pomegranate,622552
pomegranate,126c33
quince,e188db
quince,ddc55c
quince,feb399
quince,e8ed23
quince,d1d66b
quince,c9dad1
quince,47816
quince,16838
quince,b35e35
quince,5dabba
quince,1d5a9e
quince,cfc6dd
quince,26052
quince,26051
quince,6a90d7
quince,51990
quince,9eabe6
quince,51286
quince,8eda99
quince,51379
quince,2581
quince,c2aae1
quince,51288
quince,30148
quince,d48069
raspberry,46956
raspberry,35749
raspberry,713d4a
raspberry,47018
raspberry,36717
raspberry,37775
raspberry,c74cbe
raspberry,8de30d
raspberry,ad44c8
raspberry,c44726
raspberry,31822
raspberry,46964
raspberry,3b5579
raspberry,ebf69a
raspberry,36e13b
raspberry,49299
raspberry,e83452
raspberry,36813
raspberry,1d1377
raspberry,47115
